Materiale;Nuovo Testo breve materiale;;Nuovo Testo breve materiale EN;
5000000629-00;CUSCINETTO RADIALE SFERA 629;28;DEEP GROOVE B-BEARING 629;25
5000000630-00;CUSCINETTO RADIALE SFERA 630/8-2RSRY;36;DEEP GROOVE B-BEARING 630/8-2RSRY;33
5000001214-00;CUSCINETTO ORIENT. SFERA 1214 ETN9;34;SELF-ALIGNING B-BEARING 1214 ETN9;33
5000002204-00;CUSCINETTO ORIENT. SFERA 2204 E-2RS1TN9;39;SELF-ALIGNING B-BEARING 2204 E-2RS1TN9;38
5000003201-00;CUSCINETTO OBLIQUO 2C SFERA 3201 ATN9;37;2ROW ANG. CONT. B-BEARING 3201 ATN9;35
5000003204-00;CUSCINETTO OBLIQUO 2C SFERA 3204 ATN9;37;2ROW ANG. CONT. B-BEARING 3204 ATN9;35
5000003205-00;CUSCINETTO OBLIQUO 2C SFERA 3205 ATN9;37;2ROW ANG. CONT. B-BEARING 3205 ATN9;35
5000003206-00;CUSCINETTO OBLIQUO 2C SFERA 3206 ATN9;37;2ROW ANG. CONT. B-BEARING 3206 ATN9;35
5000003207-00;CUSCINETTO OBLIQUO 2C SFERA 3207 ATN9;37;2ROW ANG. CONT. B-BEARING 3207 ATN9;35
5000003212-00;CUSCINETTO OBLIQUO 2C SFERA 3212 ATN9;37;2ROW ANG. CONT. B-BEARING 3212 ATN9;35
5000003304-00;CUSCINETTO OBLIQUO 2C SFERA 3304 ATN9;37;2ROW ANG. CONT. B-BEARING 3304 ATN9;35
5000003305-00;CUSCINETTO OBLIQUO 2C SFERA 3305 ATN9;37;2ROW ANG. CONT. B-BEARING 3305 ATN9;35
5000003307-00;CUSCINETTO OBLIQUO 2C SFERA 3307 ATN9;37;2ROW ANG. CONT. B-BEARING 3307 ATN9;35
5000003308-00;CUSCINETTO OBLIQUO 2C SFERA 3308 ATN9;37;2ROW ANG. CONT. B-BEARING 3308 ATN9;35
5000003309-00;CUSCINETTO OBLIQUO 2C SFERA 3309 ATN9;37;2ROW ANG. CONT. B-BEARING 3309 ATN9;35
5000004200-00;CUSCINETTO RADIALE 2C SFERA 4200 ATN9;37;2ROW DEEP GROOVE B-BEARING 4200 ATN9;36
5000004204-00;CUSCINETTO RADIALE 2C SFERA 4204 ATN9;37;2ROW DEEP GROOVE B-BEARING 4204 ATN9;36
5000004902-00;CUSCINETTO RULLINI RNA 4902;27;NEEDLE ROLLER BEARING RNA 4902;30
5000006001-00;CUSCINETTO RADIALE SFERA 6001;29;DEEP GROOVE B-BEARING 6001;26
5000006002-00;CUSCINETTO RADIALE SFERA 6002;29;DEEP GROOVE B-BEARING 6002;26
5000006004-00;CUSCINETTO RADIALE SFERA 6004;29;DEEP GROOVE B-BEARING 6004;26
5000006005-00;CUSCINETTO RADIALE SFERA 6005;29;DEEP GROOVE B-BEARING 6005;26
5000006008-00;CUSCINETTO RADIALE SFERA 6008;29;DEEP GROOVE B-BEARING 6008;26
5000006015-00;CUSCINETTO RADIALE SFERA 6015;29;DEEP GROOVE B-BEARING 6015;26
5000006200-00;CUSCINETTO RADIALE SFERA 6200;29;DEEP GROOVE B-BEARING 6200;26
5000006201-00;CUSCINETTO RADIALE SFERA 6201;29;DEEP GROOVE B-BEARING 6201;26
5000006203-00;CUSCINETTO RADIALE SFERA 6203;29;DEEP GROOVE B-BEARING 6203;26
5000006204-00;CUSCINETTO RADIALE SFERA 6204;29;DEEP GROOVE B-BEARING 6204;26
5000006205-00;CUSCINETTO RADIALE SFERA 6205;29;DEEP GROOVE B-BEARING 6205;26
5000006206-00;CUSCINETTO RADIALE SFERA 6206;29;DEEP GROOVE B-BEARING 6206;26
5000006207-00;CUSCINETTO RADIALE SFERA 6207;29;DEEP GROOVE B-BEARING 6207;26
5000006208-00;CUSCINETTO RADIALE SFERA 6208;29;DEEP GROOVE B-BEARING 6208;26
5000006216-00;CUSCINETTO RADIALE SFERA 6216;29;DEEP GROOVE B-BEARING 6216;26
5000006228-00;CUSCINETTO RADIALE SFERA 6228;29;DEEP GROOVE B-BEARING 6228;26
5000006303-00;CUSCINETTO RADIALE SFERA 6303;29;DEEP GROOVE B-BEARING 6303;26
5000006304-00;CUSCINETTO RADIALE SFERA 6304;29;DEEP GROOVE B-BEARING 6304;26
5000006305-00;CUSCINETTO RADIALE SFERA 6305-2RZ;33;DEEP GROOVE B-BEARING 6305-2RZ;30
5000006307-00;CUSCINETTO RADIALE SFERA 6307;29;DEEP GROOVE B-BEARING 6307;26
5000006908-00;CUSCINETTO RADIALE SFERA 61908;30;DEEP GROOVE B-BEARING 61908;27
5000007010-00;CUSCINETTO OBLIQUO SFERA 7010 ACD/P4ADBA;40;ANG. CONT. B-BEARING 7010 ACD/P4ADBA;36
