Materiale;Nuovo Testo breve materiale;;Nuovo Testo breve materiale EN;;;;;;;;;;;;;;;;;;;;;;
5161330656-00;ANELLO DI BLOCCAGG. GN705-16-E D16H8x28;39;LOCKING RING GN705-16-E D16H8x28;32;;;;;;;;;;;;;;;;;;;;;
5170312050-00;BULLONE PER TESTA A MARTELLO 12x50;34;HAMMER HEAD FASTENER 12x50;26;;;;;;;;;;;;;;;;;;;;;
5170320080-00;BULLONE PER TESTA A MARTELLO 20x80;34;HAMMER HEAD FASTENER 20x80;26;;;;;;;;;;;;;;;;;;;;;
5193000004-00;CHIAVE AD ANELLO D38;20;KEY RING D38;12;;;;;;;;;;;;;;;;;;;;;
5192102015-00;COPIGLIA A2K D2x15;18;COTTER PINS A2K D2x15;21;;;;;;;;;;;;;;;;;;;;;
5192102040-00;COPIGLIA A2K D3x40;18;COTTER PINS A2K D3x40;21;;;;;;;;;;;;;;;;;;;;;
5192200020-00;COPIGLIA ELASTICA A2K D1,8;26;SPRING LOCK SAFETY COTTER PINS A2K D1,8;39;;;;;;;;;;;;;;;;;;;;;
5192200025-00;COPIGLIA ELASTICA A2K D2,5;26;SPRING LOCK SAFETY COTTER PINS A2K D2,5;39;;;;;;;;;;;;;;;;;;;;;
5192200040-00;COPIGLIA ELASTICA A2K D4;24;SPRING LOCK SAFETY COTTER PINS A2K D4;37;;;;;;;;;;;;;;;;;;;;;
5171004806-00;DADO A GABBIA A2K M6x4,5-8 S=1,7-2,5;36;CAGE NUT A2K M6x4,5-8 S=1,7-2,5;31;;;;;;;;;;;;;;;;;;;;;
5171015806-00;DADO A GABBIA C 806-15 M6;25;CAGE NUT C 806-15 M6;20;;;;;;;;;;;;;;;;;;;;;
5171048151-00;DADO A GABBIA CJ 4815-1;23;CAGE NUT CJ 4815-1;18;;;;;;;;;;;;;;;;;;;;;
5141506005-00;DADO AUTOBL.FLANGIATO-ZIGRINATO A2K M6-6;40;DADO AUTOBL.FLANGIATO-ZIGRINATO A2K M6-6;40;;;;;;;;;;;;;;;;;;;;;
5141508008-00;DADO AUTOBL.FLANGIATO-ZIGRINATO A2K M8-6;40;DADO AUTOBL.FLANGIATO-ZIGRINATO A2K M8-6;40;;;;;;;;;;;;;;;;;;;;;
5141710000-00;DADO CIECO CALOTTA SFERICA A2K M10-6;36;DADO CIECO CALOTTA SFERICA A2K M10-6;36;;;;;;;;;;;;;;;;;;;;;
5140310010-00;DADO ESAG. ALTO A2K M10-6;25;HEXAGONAL NUT HIGH A2K M10-6;28;;;;;;;;;;;;;;;;;;;;;
5140312012-00;DADO ESAG. ALTO A2K M12-6;25;HEXAGONAL NUT HIGH A2K M12-6;28;;;;;;;;;;;;;;;;;;;;;
5140314014-00;DADO ESAG. ALTO A2K M14-6;25;HEXAGONAL NUT HIGH A2K M14-6;28;;;;;;;;;;;;;;;;;;;;;
5140316016-00;DADO ESAG. ALTO A2K M16-6;25;HEXAGONAL NUT HIGH A2K M16-6;28;;;;;;;;;;;;;;;;;;;;;
5140318018-00;DADO ESAG. ALTO A2K M18-6;25;HEXAGONAL NUT HIGH A2K M18-6;28;;;;;;;;;;;;;;;;;;;;;
5140320020-00;DADO ESAG. ALTO A2K M20-6;25;HEXAGONAL NUT HIGH A2K M20-6;28;;;;;;;;;;;;;;;;;;;;;
5140324024-00;DADO ESAG. ALTO A2K M24-6;25;HEXAGONAL NUT HIGH A2K M24-6;28;;;;;;;;;;;;;;;;;;;;;
5140303003-00;DADO ESAG. ALTO A2K M3-6;24;HEXAGONAL NUT HIGH A2K M3-6;27;;;;;;;;;;;;;;;;;;;;;
5140330030-00;DADO ESAG. ALTO A2K M30-6;25;HEXAGONAL NUT HIGH A2K M30-6;28;;;;;;;;;;;;;;;;;;;;;
5145330030-00;DADO ESAG. ALTO A2K M30x2-6;27;HEXAGONAL NUT HIGH A2K M30x2-6;30;;;;;;;;;;;;;;;;;;;;;
5140304004-00;DADO ESAG. ALTO A2K M4-6;24;HEXAGONAL NUT HIGH A2K M4-6;27;;;;;;;;;;;;;;;;;;;;;
5140306006-00;DADO ESAG. ALTO A2K M6-6;24;HEXAGONAL NUT HIGH A2K M6-6;27;;;;;;;;;;;;;;;;;;;;;
5140308008-00;DADO ESAG. ALTO A2K M8-6;24;HEXAGONAL NUT HIGH A2K M8-6;27;;;;;;;;;;;;;;;;;;;;;
5161208075-00;DADO ESAG. AUTOBL. A2K M8-6;27;SELF-LOCKING NUT HIGH A2K M8-6;30;;;;;;;;;;;;;;;;;;;;;
5162001010-00;DADO ESAG. AUTOBL. ALTO A2K M10-8;33;SELF-LOCKING NUT HIGH A2K M10-8;31;;;;;;;;;;;;;;;;;;;;;
5162002010-00;DADO ESAG. AUTOBL. ALTO A2K M10x1,25-8;38;SELF-LOCKING NUT HIGH A2K M10x1,25-8;36;;;;;;;;;;;;;;;;;;;;;
5162310125-00;DADO ESAG. AUTOBL. ALTO A2K M10x1,25-8;38;SELF-LOCKING NUT HIGH A2K M10x1,25-8;36;;;;;;;;;;;;;;;;;;;;;
5162001012-00;DADO ESAG. AUTOBL. ALTO A2K M12-8;33;SELF-LOCKING NUT HIGH A2K M12-8;31;;;;;;;;;;;;;;;;;;;;;
5162002012-00;DADO ESAG. AUTOBL. ALTO A2K M12x1,25-8;38;SELF-LOCKING NUT HIGH A2K M12x1,25-8;36;;;;;;;;;;;;;;;;;;;;;
5162001014-00;DADO ESAG. AUTOBL. ALTO A2K M14-8;33;SELF-LOCKING NUT HIGH A2K M14-8;31;;;;;;;;;;;;;;;;;;;;;
5162002014-00;DADO ESAG. AUTOBL. ALTO A2K M14x1,5-8;37;SELF-LOCKING NUT HIGH A2K M14x1,5-8;35;;;;;;;;;;;;;;;;;;;;;
5162001016-00;DADO ESAG. AUTOBL. ALTO A2K M16-8;33;SELF-LOCKING NUT HIGH A2K M16-8;31;;;;;;;;;;;;;;;;;;;;;
5162002016-00;DADO ESAG. AUTOBL. ALTO A2K M16x1,5-8;37;SELF-LOCKING NUT HIGH A2K M16x1,5-8;35;;;;;;;;;;;;;;;;;;;;;
5162001020-00;DADO ESAG. AUTOBL. ALTO A2K M20-8;33;SELF-LOCKING NUT HIGH A2K M20-8;31;;;;;;;;;;;;;;;;;;;;;
5162002020-00;DADO ESAG. AUTOBL. ALTO A2K M20x1,5-8;37;SELF-LOCKING NUT HIGH A2K M20x1,5-8;35;;;;;;;;;;;;;;;;;;;;;
5162001024-00;DADO ESAG. AUTOBL. ALTO A2K M24-8;33;SELF-LOCKING NUT HIGH A2K M24-8;31;;;;;;;;;;;;;;;;;;;;;
5162002024-00;DADO ESAG. AUTOBL. ALTO A2K M24x2-8;35;SELF-LOCKING NUT HIGH A2K M24x2-8;33;;;;;;;;;;;;;;;;;;;;;
5162001003-00;DADO ESAG. AUTOBL. ALTO A2K M3-8;32;SELF-LOCKING NUT HIGH A2K M3-8;30;;;;;;;;;;;;;;;;;;;;;
5162001030-00;DADO ESAG. AUTOBL. ALTO A2K M30-8;33;SELF-LOCKING NUT HIGH A2K M30-8;31;;;;;;;;;;;;;;;;;;;;;
5162002030-00;DADO ESAG. AUTOBL. ALTO A2K M30x2-8;35;SELF-LOCKING NUT HIGH A2K M30x2-8;33;;;;;;;;;;;;;;;;;;;;;
5162002003-00;DADO ESAG. AUTOBL. ALTO A2K M3x0,5-8;36;SELF-LOCKING NUT HIGH A2K M3x0,5-8;34;;;;;;;;;;;;;;;;;;;;;
5162001004-00;DADO ESAG. AUTOBL. ALTO A2K M4-8;32;SELF-LOCKING NUT HIGH A2K M4-8;30;;;;;;;;;;;;;;;;;;;;;
5162002004-00;DADO ESAG. AUTOBL. ALTO A2K M4x0,5-8;36;SELF-LOCKING NUT HIGH A2K M4x0,5-8;34;;;;;;;;;;;;;;;;;;;;;
5162001005-00;DADO ESAG. AUTOBL. ALTO A2K M5-8;32;SELF-LOCKING NUT HIGH A2K M5-8;30;;;;;;;;;;;;;;;;;;;;;
5162002005-00;DADO ESAG. AUTOBL. ALTO A2K M5x0,5-8;36;SELF-LOCKING NUT HIGH A2K M5x0,5-8;34;;;;;;;;;;;;;;;;;;;;;
5162001006-00;DADO ESAG. AUTOBL. ALTO A2K M6-8;32;SELF-LOCKING NUT HIGH A2K M6-8;30;;;;;;;;;;;;;;;;;;;;;
5162002006-00;DADO ESAG. AUTOBL. ALTO A2K M6x0,75-8.;38;SELF-LOCKING NUT HIGH A2K M6x0,75-8.;36;;;;;;;;;;;;;;;;;;;;;
5162001008-00;DADO ESAG. AUTOBL. ALTO A2K M8-8;32;SELF-LOCKING NUT HIGH A2K M8-8;30;;;;;;;;;;;;;;;;;;;;;
5162308010-00;DADO ESAG. AUTOBL. ALTO A2K M8-8;32;SELF-LOCKING NUT HIGH A2K M8-8;30;;;;;;;;;;;;;;;;;;;;;
5162002008-00;DADO ESAG. AUTOBL. ALTO A2K M8x1-8;34;SELF-LOCKING NUT HIGH A2K M8x1-8;32;;;;;;;;;;;;;;;;;;;;;
5162402010-00;DADO ESAG. AUTOBL. BASSO A2 M10-50;34;SELF-LOCKING NUT LOW A2 M10-50;30;;;;;;;;;;;;;;;;;;;;;
5162402014-00;DADO ESAG. AUTOBL. BASSO A2 M14-50;34;SELF-LOCKING NUT LOW A2 M14-50;30;;;;;;;;;;;;;;;;;;;;;
5162402016-00;DADO ESAG. AUTOBL. BASSO A2 M16-50;34;SELF-LOCKING NUT LOW A2 M16-50;30;;;;;;;;;;;;;;;;;;;;;
